lncRNA,miRNA,Score,Interaction
MVK,hsa-mir-20a/106b,0.9999,1
hsa-mir-25-3p,NONHSAG001079,0.9998,1
hsa-mir-20b-3p,USP47,0.9998,1
hsa-mir-122,NONHSAG045503,0.9998,1
hsa-miR-876-5p,CERS6-AS1,0.9998,1
hsa-miR-208a-3p,IP6K2,0.9998,1
hsa-miR-146b-5p,STAU2,0.9998,1
hsa-mir-32,C4orf46,0.9998,1
STRADA,hsa-mir-494-3p,0.9998,1
hsa-miR-146a-3p,AC118754.4,0.9998,1
hsa-miR-5590-3p,ABCD3,0.9998,1
miR-489,PFKFB2,0.9998,1
hsa-mir-21-3p,ANXA1,0.9998,1
hsa-miR-145-3p,KIAA1984-AS1,0.9998,1
hsa-mir-106b-3p,NONHSAG045375,0.9998,1
hsa-miR-18a-3p,CRHR1-IT1,0.9998,1
MDM2,hsa-mir-186-3p,0.9998,1
hsa-miR-96-5p,SLC38A9,0.9998,1
hsa-miR-526b-3p,MEIS2,0.9998,1
hsa-let-7a-2,TMEM138,0.9998,1
hsa-let-7b-5p,TELO2,0.9998,1
hsa-miR-6835-3p,LOC284801,0.9998,1
NONHSAG048333,hsa-mir-342-3p,0.9998,1
hsa-miR-6835-3p,SPCS1,0.9998,1
hsa-miR-125b-5p,ZBTB17,0.9998,1
OIP5-AS1,hsa-miR-548y,0.9998,1
hsa-let-7i-5p,H2AFZ,0.9998,1
hsa-miR-335-3p,PARL,0.9998,1
hsa-mir-193a-3p/193b,SSR4,0.9998,1
hsa-mir-302a-3p,RPP14,0.9998,1
hsa-mir-103a-2-5p,NONHSAG020639,0.9998,1
hsa-miR-4735-5p,NUMA1,0.9998,1
hsa-mir-448,BCL2,0.9998,1
hsa-mir-181b-3p,RP11-357G3.2,0.9998,1
hsa-miR-139-3p,DMPK,0.9998,1
hsa-mir-181b-3p,CACUL1,0.9998,1
HOTAIR,miR-22,0.9998,1
hsa-miR-376b-3p,NONHSAG033244,0.9998,1
hsa-miR-590-3p,RNF185,0.9998,1
CTB-89H12.4,hsa-miR-5011-3p,0.9998,1
hsa-mir-206,AC084219.4,0.9998,1
hsa-mir-106b-3p,MUM1,0.9998,1
DANCR,hsa-miR-339-5p,0.9998,1
ZNF800,hsa-mir-181a/181b/18,0.9998,1
NONHSAG037161,hsa-mir-744-3p,0.9998,1
hsa-miR-3064-3p,AC004447.2,0.9998,1
hsa-mir-6807,RGS19,0.9998,1
hsa-mir-302b-3p,CTA-204B4.2,0.9998,1
hsa-miR-145-3p,TMEM167A,0.9998,1
hsa-miR-378a-5p,NONHSAG019789,0.9998,1
hsa-mir-106b-3p,NONHSAG012021,0.9998,1
hsa-miR-362-5p,DCTN1-AS1,0.9998,1
hsa-miR-188-3p,EPN2,0.9998,1
hsa-miR-370,NAGK,0.9998,1
hsa-let-7d-3p,NONHSAG040291,0.9998,1
hsa-let-7c,NCOR2,0.9998,1
hsa-miR-33a-3p,NONHSAG039865,0.9998,1
hsa-miR-129-5p,RPI002_004205,0.9998,1
ZNF131,hsa-mir-223-3p,0.9998,1
hsa-miR-590-3p,GALNT7,0.9998,1
hsa-miR-493-5p,NONHSAG043429,0.9998,1
hsa-mir-10a-3p,LRCH4,0.9998,1
hsa-miR-205-5p,NONHSAG034083,0.9998,1
hsa-miR-376b-3p,RP11-79H23.3,0.9998,1
hsa-miR-224-5p,MAX,0.9998,1
hsa-miR-299-3p,NONHSAG013145,0.9998,1
hsa-miR-424-5p,MCM3AP-AS1,0.9998,1
hsa-miR-503-3p,RNF111,0.9998,1
hsa-miR-141-3p,SELT,0.9998,1
ELMOD2,hsa-miR-5195-3p,0.9998,1
hsa-miR-199a-5p,LIME1,0.9998,1
hsa-mir-30c-1,AASDHPPT,0.9998,1
hsa-miR-497-3p,NONHSAG022204,0.9998,1
hsa-miR-323a-3p,CKAP2,0.9998,1
hsa-miR-6884-5p,FAM208B,0.9998,1
MCF2L,hsa-miR-520a-5p,0.9998,1
TRA2A,hsa-mir-451a,0.9998,1
hsa-miR-520c-3p,JKAMP,0.9997,1
CASC7,hsa-let-7f-5p,0.9997,1
hsa-mir-494-3p,CALR,0.9997,1
hsa-mir-34c-5p,NONHSAG028360,0.9997,1
hsa-miR-33a-3p,NONHSAG013062,0.9997,1
LINC00667,hsa-miR-433,0.9997,1
hsa-miR-6835-3p,CLK2,0.9997,1
hsa-miR-330-3p,NDEL1,0.9997,1
hsa-mir-6838,NONHSAG030301,0.9997,1
hsa-miR-374b-3p,SEMA4G,0.9997,1
hsa-miR-1249-3p,PPP5D1,0.9997,1
hsa-let-7a-2,RP11-473I1.10,0.9997,1
hsa-miR-151a-3p,CCNG1,0.9997,1
hsa-miR-409-5p,WDR11,0.9997,1
LINC00460,miR-612,0.9997,1
hsa-miR-18b-5p,NONHSAG020333,0.9997,1
hsa-mir-24-1,MEIS2,0.9997,1
hsa-mir-140-3p,PAFAH1B1,0.9997,1
hsa-miR-4735-5p,NONHSAG000092,0.9997,1
hsa-miR-135a2,RP11-324I22.2,0.9997,1
hsa-mir-30a/30b/30c/,DMXL2,0.9997,1
hsa-miR-212-5p,AC004490.1,0.9997,1
hsa-miR-503-3p,NONHSAG036097,0.9997,1
hsa-mir-181d,NONHSAG055758,0.9997,1
hsa-miR-152,DDX17,0.9997,1
hsa-miR-149-3p,AES,0.9997,1
hsa-mir-20a/106b,MPZL1,0.9997,1
hsa-miR-217,LILRB1,0.9997,1
hsa-miR-4458,RP11-785H5.1,0.9997,1
hsa-miR-301b,LONP2,0.9997,1
hsa-miR-491-3p,STAG3L5P,0.9997,1
hsa-miR-218-1-3p,TMEM2,0.9997,1
hsa-miR-1298-5p,MORF4L2,0.9997,1
hsa-miR-452-3p,NONHSAG053984,0.9997,1
RP11-334C17.5,hsa-mir-98,0.9997,1
hsa-miR-378f,NONHSAG053777,0.9997,1
hsa-miR-449b-3p,RNF31,0.9997,1
hsa-mir-140-3p,RSBN1L-AS1,0.9997,1
hsa-miR-129-5p,UBXN2A,0.9997,1
hsa-miR-5688,AC007879.2,0.9997,1
hsa-miR-320c,ASPDH,0.9997,1
hsa-miR-4295,NONHSAG051406,0.9997,1
RP3-477O4.16,hsa-miR-23c,0.9997,1
hsa-mir-488-3p,NCAPD2,0.9997,1
hsa-miR-340-5p,ZNF767,0.9997,1
SNX5,hsa-miR-371a-3p,0.9997,1
hsa-miR-133b,EYA1,0.9997,1
TMEM18,hsa-miR-423-5p,0.9997,1
hsa-mir-411,CTD-2017D11.1,0.9996,1
hsa-miR-154-3p,NONHSAG030646,0.9996,1
hsa-mir-302a-3p,ASAP2,0.9996,1
hsa-mir-374a-3p,GTF2H3,0.9996,1
hsa-mir-28-3p,NONHSAG037088,0.9996,1
hsa-miR-147b,SNHG10,0.9996,1
hsa-miR-136-3p,VPS26AP1,0.9996,1
hsa-miR-487a,ZC3H14,0.9996,1
hsa-miR-144-3p,ZC3H14,0.9996,1
hsa-miR-7153-5p,ALG8,0.9996,1
CDKN1A,hsa-miR-384,0.9996,1
hsa-let-7c,RP11-443N24.2,0.9996,1
hsa-mir-302d-3p,NONHSAG008242,0.9996,1
hsa-miR-3529-5p,AC009948.5,0.9996,1
hsa-mir-17/20b/93/51,NONHSAG043149,0.9996,1
hsa-mir-200c-3p,NONHSAG047246,0.9996,1
hsa-miR-378a-5p,U2SURP,0.9996,1
hsa-mir-106b-3p,NONHSAG010760,0.9996,1
hsa-miR-369-3p,TAPT1-AS1,0.9996,1
RP11-469M7.1,hsa-miR-451b,0.9996,1
hsa-miR-374c-5p,RP11-94L15.2,0.9996,1
hsa-miR-495-3p,IRF1,0.9996,1
hsa-mir-27b-3p,NONHSAG028043,0.9996,1
EIF3D,hsa-miR-381-3p,0.9996,1
PRUNE2,hsa-miR-130b-3p,0.9996,1
hsa-miR-433,RPI002_004205,0.9996,1
RP11-106M3.2,hsa-miR-487b-3p,0.9996,1
hsa-mir-24-1,JOSD2,0.9995,1
hsa-miR-1306-3p,DGCR8,0.9995,1
hsa-miR-376c-3p,AC009299.3,0.9995,1
hsa-miR-199b-5p,NONHSAG043050,0.9995,1
hsa-miR-369-3p,PPP2CB,0.9995,1
hsa-miR-296-3p,C2CD3,0.9995,1
hsa-miR-16-1-3p,NONHSAG007948,0.9995,1
hsa-miR-199a-5p,NONHSAG020639,0.9995,1
hsa-miR-320b,TAF1D,0.9995,1
MAZ,hsa-mir-744-3p,0.9995,1
hsa-miR-135b-5p,NONHSAG021912,0.9995,1
DGCR5,miR-3163,0.9995,1
hsa-miR-152,CERS6-AS1,0.9995,1
hsa-miR-185-3p,NONHSAG043283,0.9995,1
hsa-mir-106b-3p,NKAPP1,0.9995,1
hsa-miR-23c,STAM2,0.9995,1
hsa-mir-223-3p,AGO2,0.9995,1
hsa-miR-374b-3p,RP3-486I3.7,0.9995,1
hsa-miR-149-3p,ZWINT,0.9995,1
RP11-805I24.1,hsa-miR-4496,0.9995,1
hsa-miR-205-5p,NONHSAG008077,0.9995,1
hsa-mir-181d,CLASP2,0.9995,1
hsa-miR-106a-3p,GINS1,0.9995,1
hsa-miR-143-3p,RNF19A,0.9994,1
hsa-miR-423-5p,BCAS3,0.9994,1
hsa-miR-1306-3p,HOXC-AS2,0.9994,1
hsa-miR-217,SCAMP1,0.9994,1
hsa-miR-30d-3p,SNHG5,0.9994,1
hsa-miR-4735-5p,GCLC,0.9994,1
hsa-miR-410-3p,ARFGEF1,0.9994,1
NONHSAG036921,hsa-mir-181b-3p,0.9994,1
hsa-miR-18a-3p,CDKN1A,0.9994,1
hsa-mir-193b-3p,RPL36,0.9994,1
hsa-miR-138-2-3p,NONHSAG017796,0.9994,1
hsa-miR-613,RSBN1L-AS1,0.9994,1
hsa-miR-6504-3p,AC005757.7,0.9993,1
hsa-miR-3666,SCAMP4,0.9993,1
hsa-mir-29b-2-5p,UVSSA,0.9993,1
hsa-mir-153,SUCLA2,0.9993,1
hsa-miR-375,POM121C,0.9993,1
hsa-miR-155-3p,TCERG1,0.9993,1
hsa-miR-3118,PTCHD3P1,0.9993,1
hsa-miR-1306-3p,NONHSAG048036,0.9993,1
hsa-miR-7153-5p,NONHSAG053421,0.9993,1
hsa-miR-376a-3p,TMEM87A,0.9993,1
hsa-miR-208b-3p,NEAT1,0.9993,1
NONHSAG053377,hsa-miR-4262,0.9993,1
hsa-miR-143-3p,XXbac-BPG181M17.6,0.9993,1
hsa-mir-302b-3p,FAM89A,0.9993,1
hsa-miR-144-3p,RP11-646I6.5,0.9993,1
hsa-mir-448,AC000120.7,0.9993,1
hsa-miR-520a-5p,RP11-399O19.8,0.9993,1
hsa-mir-6838,CD151,0.9992,1
hsa-miR-501-3p,NONHSAG008515,0.9992,1
hsa-mir-6807,ZDHHC7,0.9992,1
hsa-mir-103a-2-5p,MON2,0.9992,1
hsa-miR-5590-3p,HNRNPA1,0.9992,1
hsa-mir-331-3p,HOXA-AS2,0.9992,1
hsa-mir-148b,SEC61G,0.9992,1
hsa-miR-33b-3p,DDX6,0.9992,1
hsa-miR-362-5p,NONHSAG001663,0.9992,1
hsa-mir-20a/106b,RP11-553L6.5,0.9992,1
hsa-let-7b-5p,MTATP8P1,0.9992,1
hsa-miR-138-2-3p,MYD88,0.9992,1
hsa-mir-20a/106b,NONHSAG053896,0.9992,1
AC034102.1,hsa-let-7f-5p,0.9992,1
hsa-miR-106a-3p,NONHSAG041005,0.9992,1
hsa-miR-655-3p,UBQLN1,0.9992,1
hsa-miR-378i,ZNF513,0.9992,1
hsa-miR-449b-3p,TMEM143,0.9992,1
hsa-miR-369-3p,RCHY1,0.9991,1
hsa-miR-33a-3p,LYRM2,0.9991,1
hsa-mir-186-3p,SUV420H1,0.9991,1
hsa-miR-130b-3p,NONHSAG037206,0.9991,1
hsa-miR-495-3p,AC058791.2,0.9991,1
hsa-miR-378a-5p,ELK3,0.9991,1
hsa-mir-367-3p,SLC25A22,0.9991,1
hsa-mir-130a-3p,NONHSAG031168,0.9991,1
hsa-mir-421,LOC284801,0.9991,1
hsa-miR-320c,C1orf43,0.9991,1
PTGES3,hsa-miR-412,0.9991,1
hsa-mir-181b-3p,NONHSAG015152,0.9991,1
hsa-let-7b-5p,NONHSAG041971,0.9991,1
hsa-miR-590-3p,SERPINI1,0.9991,1
hsa-miR-326,RP11-142I20.1,0.9991,1
UBQLN1,hsa-mir-494-3p,0.999,1
hsa-mir-181b-3p,MBNL1,0.999,1
hsa-miR-423-5p,NONHSAG035143,0.999,1
hsa-miR-199b-5p,PSMD13,0.999,1
hsa-miR-3139,FAM227B,0.999,1
hsa-miR-188-3p,RP11-356I2.4,0.999,1
PVT1,miR-17-3p,0.999,1
hsa-mir-122,TMED9,0.999,1
hsa-miR-4500,ZMYM4,0.999,1
hsa-mir-200c-3p,INTS8,0.999,1
hsa-mir-29c,RPL18,0.999,1
hsa-miR-378c,RP11-108M21.1,0.999,1
hsa-mir-15a/15b/16/1,CAPZA1,0.9989,1
hsa-miR-217,UIMC1,0.9989,1
hsa-mir-181b-3p,NONHSAG023666,0.9989,1
hsa-miR-3167,RP11-758M4.4,0.9989,1
hsa-mir-103a-2-5p,UBP1,0.9989,1
hsa-miR-301b,NONHSAG009769,0.9989,1
hsa-miR-339-5p,RP5-1142A6.2,0.9989,1
hsa-mir-28-3p,CTC-281B15.1,0.9989,1
CANT1,hsa-miR-33b-3p,0.9989,1
hsa-miR-892c-3p,XPO7,0.9989,1
hsa-mir-106b-3p,RPL21P133,0.9989,1
hsa-mir-302d-3p,NONHSAG001663,0.9988,1
hsa-miR-372,ZNF410,0.9988,1
hsa-miR-106a-3p,PTCHD3P1,0.9988,1
hsa-miR-371a-3p,SRSF2,0.9988,1
hsa-miR-106a-3p,DNAJC9,0.9988,1
hsa-miR-196b-3p,RP1-199J3.5,0.9988,1
hsa-miR-6504-3p,OIP5-AS1,0.9988,1
hsa-miR-708-3p,NONHSAG004065,0.9988,1
hsa-miR-96-5p,SND1,0.9988,1
hsa-mir-302b-3p,ACTL6A,0.9987,1
hsa-miR-16-1-3p,C16orf93,0.9987,1
hsa-mir-223-3p,RUSC1-AS1,0.9987,1
hsa-mir-148b,SLC25A32,0.9987,1
hsa-miR-18a-3p,NONHSAG000098,0.9987,1
hsa-miR-182-3p,NONHSAG015511,0.9987,1
hsa-miR-132-3p,PCAT2,0.9987,1
hsa-miR-539-3p,RPS6KB2,0.9987,1
hsa-miR-320b,HSDL1,0.9986,1
hsa-miR-146a-3p,C16orf80,0.9986,1
hsa-mir-93-3p,GINS1,0.9986,1
hsa-mir-19a/19b,TTK,0.9986,1
hsa-miR-129-5p,AC010980.2,0.9986,1
hsa-miR-423-5p,RP11-169K16.9,0.9986,1
hsa-miR-196b-3p,RPP30,0.9986,1
hsa-miR-382-5p,CNOT7,0.9985,1
hsa-mir-17/20b/93/51,ISG20L2,0.9985,1
CTA-204B4.6,hsa-miR-1915-3p,0.9985,1
XIST,hsa-miR-501-3p,0.9985,1
hsa-mir-107,CLPTM1L,0.9985,1
hsa-let-7f-5p,TMX2,0.9985,1
hsa-miR-320d,ZNF268,0.9985,1
hsa-mir-130a-3p,NONHSAG000092,0.9985,1
hsa-mir-494-3p,MGST3,0.9985,1
hsa-miR-296-3p,SLC5A6,0.9985,1
hsa-miR-328,RP11-805I24.1,0.9984,1
AL021068.1,MFN1,0.9984,1
hsa-let-7e-3p,OSTM1,0.9984,1
hsa-miR-346,NONHSAG003862,0.9984,1
hsa-miR-378c,NONHSAG011651,0.9983,1
hsa-miR-520a-5p,RP11-580I16.2,0.9983,1
hsa-miR-335-3p,TTI1,0.9983,1
hsa-miR-106a-3p,LOC678655,0.9983,1
hsa-miR-320b,NONHSAG004063,0.9983,1
hsa-miR-15b-5p,RPL38,0.9983,1
hsa-mir-130a-3p,LINC00665,0.9983,1
hsa-mir-17/20b/93/51,RASSF8-AS1,0.9982,1
hsa-mir-103a-2-5p,GSTP1,0.9982,1
PGRMC2,hsa-mir-6807,0.9982,1
hsa-miR-3139,MCUR1,0.9982,1
hsa-miR-758-3p,DAZAP1,0.9982,1
hsa-miR-493-5p,NEDD4L,0.9982,1
hsa-miR-4500,NONHSAG039954,0.9982,1
NONHSAG048736,hsa-miR-582-3p,0.9982,1
hsa-mir-15a/15b/16/1,AC016629.8,0.9982,1
hsa-miR-4770,TMPO,0.9981,1
hsa-miR-23a-3p,EIF5,0.998,1
METTL9,hsa-let-7b-5p,0.998,1
42251,TECPR1,0.998,1
hsa-miR-129-5p,CTD-3185P2.1,0.998,1
hsa-miR-30b-3p,NONHSAG005343,0.9979,1
hsa-mir-223-3p,TRAPPC6B,0.9979,1
hsa-miR-365b-3p,CTA-204B4.6,0.9979,1
hsa-mir-27b-3p,NONHSAG038892,0.9978,1
hsa-miR-760,RP11-386M24.5,0.9978,1
hsa-miR-506-3p,TSIX,0.9978,1
FOXD1-AS1,miR339,0.9977,1
hsa-miR-127-5p,UGGT1,0.9977,1
hsa-mir-206,HTATIP2,0.9977,1
hsa-mir-331-3p,SRSF10,0.9977,1
hsa-miR-141-3p,RPL23AP83,0.9977,1
hsa-miR-378c,NONHSAG053805,0.9976,1
hsa-mir-34c-5p,COMMD6,0.9976,1
hsa-miR-106a-3p,AC083843.1,0.9976,1
hsa-let-7c,TTLL4,0.9976,1
hsa-miR-30b-3p,NONHSAG025547,0.9976,1
hsa-mir-20a/106b,NONHSAG009416,0.9976,1
RNF185,hsa-mir-21-3p,0.9975,1
hsa-miR-520d-5p,NONHSAG053858,0.9975,1
hsa-miR-144-3p,NONHSAG040550,0.9975,1
hsa-let-7g-5p,EPC1,0.9975,1
hsa-miR-378d,ZNF652,0.9975,1
hsa-mir-34a-3p,TPD52,0.9974,1
hsa-miR-3184-3p,ACSF2,0.9974,1
hsa-miR-323a-3p,CLK1,0.9974,1
hsa-miR-3129-5p,SLC38A10,0.9974,1
hsa-miR-526b-3p,NONHSAG009600,0.9974,1
hsa-miR-106a-3p,AP001065.2,0.9973,1
hsa-miR-143-3p,FNTA,0.9973,1
SLC7A11-AS1,miR-4775,0.9973,1
hsa-miR-493-5p,MKLN1,0.9973,1
hsa-mir-181d,CCDC59,0.9972,1
hsa-miR-506-3p,FAM216A,0.9972,1
NONHSAG018073,hsa-mir-20a/106b,0.9972,1
NONHSAG048332,hsa-miR-4676-3p,0.9972,1
hsa-miR-335-3p,EIF3M,0.9971,1
hsa-miR-532-3p,NONHSAG032956,0.9971,1
hsa-mir-130a-3p,MGAT4B,0.997,1
hsa-miR-1197,AC005154.5,0.9969,1
hsa-miR-134-5p,CTB-12A17.3,0.9969,1
MCF2L,hsa-mir-302a-3p,0.9969,1
ENC1,hsa-miR-135b-5p,0.9969,1
SOD1,hsa-mir-20b-3p,0.9968,1
hsa-miR-22-3p,MICALL2,0.9968,1
hsa-mir-186-3p,KBTBD2,0.9967,1
hsa-miR-520c-3p,MIR1792,0.9967,1
hsa-miR-487a,CCNC,0.9967,1
MALAT1,hsa-miR-346,0.9967,1
hsa-miR-4306,AMZ2,0.9967,1
hsa-mir-130a-3p,NONHSAG027419,0.9967,1
hsa-miR-145-3p,RP6-24A23.7,0.9967,1
hsa-mir-103a-2-5p,NONHSAG003196,0.9966,1
hsa-miR-1306-3p,QARS,0.9966,1
MTAP,hsa-miR-4262,0.9965,1
hsa-miR-6893-3p,WDR6,0.9962,1
hsa-miR-338-3p,SNHG15,0.9962,1
hsa-miR-301b,PHF11,0.9962,1
hsa-miR-362-5p,NONHSAG052449,0.9962,1
hsa-miR-106a-3p,CECR7,0.9962,1
hsa-miR-423-5p,XIST,0.9961,1
DLEU2,miR-455,0.9961,1
hsa-miR-6835-3p,CREB1,0.996,1
UCK2,hsa-miR-125b-5p,0.996,1
hsa-mir-200c-3p,CTD-2036P10.3,0.996,1
hsa-miR-136-3p,CTB-12A17.3,0.996,1
hsa-miR-520e,MIR181A2HG,0.9958,1
hsa-miR-29a-5p,OIP5-AS1,0.9957,1
hsa-miR-526b-3p,STARD3NL,0.9957,1
hsa-miR-221-3p,LINC00641,0.9956,1
hsa-miR-362-5p,NONHSAG052830,0.9956,1
hsa-miR-145-3p,NONHSAG032232,0.9956,1
hsa-miR-520b,RP11-44F14.11,0.9955,1
hsa-miR-374c-5p,MICALL1,0.9953,1
hsa-miR-506-3p,NONHSAG032956,0.9953,1
NONHSAG048887,hsa-miR-670,0.9953,1
hsa-miR-423-5p,CTD-2196E14.4,0.9952,1
hsa-miR-23c,NONHSAG037675,0.9951,1
hsa-mir-31-5p,NONHSAG034984,0.9951,1
hsa-miR-9-5p,MGEA5,0.9951,1
CLTC,hsa-miR-205-5p,0.9951,1
hsa-miR-302e,NONHSAG020347,0.995,1
hsa-miR-4735-5p,OIP5-AS1,0.9949,1
hsa-miR-370,HCG18,0.9949,1
hsa-mir-181b-3p,NDUFB5,0.9948,1
hsa-mir-93-3p,CD46,0.9948,1
hsa-miR-877-3p,AP2A1,0.9947,1
C22orf43,hsa-miR-18b-5p,0.9947,1
hsa-mir-103a-2-5p,MRPL1,0.9946,1
hsa-miR-6884-5p,NONHSAG054597,0.9945,1
hsa-mir-30e-3p,DMXL2,0.9945,1
hsa-miR-4306,RP5-902P8.12,0.9943,1
hsa-let-7f-5p,TFG,0.9943,1
NONHSAG008671,hsa-miR-346,0.9943,1
hsa-mir-20a/106b,NONHSAG011645,0.9943,1
hsa-miR-4458,AASDHPPT,0.9943,1
hsa-mir-17/20b/93/51,KB-431C1.4,0.9942,1
PCAT6,miR-143-3p,0.9942,1
hsa-miR-485-3p,NONHSAG000539,0.9941,1
hsa-miR-185-3p,RNF141,0.994,1
hsa-miR-146a-3p,PLSCR1,0.9938,1
hsa-miR-423-5p,NPDC1,0.9937,1
hsa-let-7b-5p,hsa-mir-8072,0.9937,1
hsa-miR-199b-5p,NONHSAG010982,0.9936,1
hsa-mir-216a-3p,GCLC,0.9935,1
hsa-miR-221-3p,RCBTB1,0.9931,1
hsa-miR-490-3p,RSL1D1,0.9931,1
hsa-mir-29c,NAGPA,0.9931,1
MVK,hsa-miR-106a-3p,0.9929,1
hsa-miR-218-1-3p,NRBP1,0.9928,1
hsa-miR-613,SLMO2,0.9928,1
KMT2E,hsa-mir-29b-2-5p,0.9927,1
hsa-miR-376a-3p,NONHSAG053227,0.9925,1
hsa-miR-370,KIAA1429,0.9925,1
hsa-miR-1306-3p,ENTPD6,0.9921,1
hsa-miR-423-5p,RAB18,0.9921,1
hsa-miR-381-3p,GLT8D1,0.992,1
hsa-miR-4735-5p,NONHSAG027579,0.9919,1
hsa-mir-148b,NUDT17,0.9918,1
miR-489,NONHSAG044429,0.9918,1
hsa-miR-130b-3p,MEF2A,0.9918,1
hsa-miR-3529-5p,RANBP9,0.9918,1
NONHSAG006912,hsa-miR-519d,0.9917,1
hsa-mir-374a-3p,KIAA0355,0.9916,1
RP11-44F21.5,hsa-miR-449b-3p,0.9916,1
hsa-miR-501-3p,PMAIP1,0.9915,1
hsa-mir-196a-2,SLC35C2,0.9912,1
hsa-miR-9-5p,RPL23AP83,0.991,1
miR-489,CCNG1,0.9908,1
BCYRN1,hsa-miR-26a-2-3p,0.9908,1
hsa-miR-208a-3p,TEFM,0.9905,1
hsa-mir-181b-3p,NONHSAG001662,0.9905,1
hsa-miR-296-3p,RP11-494K3.2,0.9904,1
hsa-miR-519d,ISCU,0.9903,1
CD164,hsa-miR-4262,0.9903,1
hsa-miR-296-3p,AC005154.5,0.9895,1
hsa-miR-154-3p,EWSR1,0.9894,1
hsa-mir-222,RP11-372K14.2,0.9892,1
hsa-mir-181d,AC006465.3,0.989,1
hsa-miR-212-5p,MBNL3,0.9888,1
hsa-miR-224-5p,NONHSAG000092,0.9888,1
NONHSAG053377,hsa-miR-378f,0.9884,1
hsa-miR-3681-3p,NONHSAG035388,0.9884,1
hsa-miR-144-3p,NONHSAG053858,0.9882,1
hsa-mir-34c-5p,NONHSAG001966,0.9881,1
hsa-miR-665,NONHSAG022113,0.9879,1
hsa-miR-328,H3F3B,0.9878,1
hsa-mir-186-3p,NONHSAG012168,0.9878,1
hsa-mir-186-3p,RP11-259K5.2,0.9878,1
hsa-miR-760,HNRNPU,0.9875,1
NONHSAG008671,hsa-mir-222,0.9874,1
hsa-miR-7-2-3p,SNHG5,0.9874,1
hsa-miR-202-3p,NONHSAG003287,0.9873,1
NONHSAG006520,hsa-miR-410-3p,0.9873,1
hsa-miR-15b-5p,NAE1,0.9872,1
hsa-mir-130a-3p,RP11-158K1.3,0.9871,1
hsa-miR-219-5p,TANK,0.9867,1
hsa-miR-195-3p,NONHSAG030690,0.9867,1
hsa-miR-758-3p,LHPP,0.9866,1
hsa-miR-363-5p,LINC00094,0.9863,1
hsa-miR-4262,MRPL42,0.9862,1
hsa-miR-4319,NONHSAG030162,0.9854,1
hsa-miR-195-3p,RNFT1,0.9854,1
hsa-miR-374b-3p,C1orf109,0.985,1
hsa-let-7i-5p,KCNQ1OT1,0.985,1
CCNL1,hsa-miR-192-3p,0.9848,1
hsa-mir-24-1,NONHSAG012303,0.9847,1
HOTAIR,miR-222-3p,0.9847,1
miR-489,NELFCD,0.9844,1
hsa-miR-299-3p,NONHSAG006936,0.9833,1
LINC00657,hsa-miR-30d-3p,0.9831,1
MALAT1,hsa-miR-5583-3p,0.9831,1
hsa-miR-125b-5p,MATN1-AS1,0.9826,1
hsa-mir-193a-3p/193b,CTD-2201E18.3,0.9822,1
hsa-miR-378f,PLGRKT,0.9813,1
MRPS25,hsa-miR-199b-5p,0.9812,1
hsa-let-7c,NONHSAG036637,0.981,1
hsa-mir-17/20b/93/51,TAF1D,0.9807,1
hsa-miR-526b-3p,RP6-99M1.2,0.9807,1
hsa-miR-5688,DPH3,0.9801,1
hsa-miR-299-3p,CTD-2228K2.7,0.9794,1
IKBKB,hsa-miR-185-3p,0.9789,1
hsa-miR-4782-5p,ACAT2,0.9788,1
hsa-miR-199b-5p,CTD-2530N21.4,0.9782,1
hsa-miR-3139,NONHSAG032704,0.9781,1
hsa-miR-330-3p,NONHSAG018767,0.9776,1
hsa-mir-153,CD55,0.9774,1
hsa-miR-144-3p,NONHSAG017162,0.9761,1
RP11-296K13.1,hsa-miR-676-3p,0.9758,1
hsa-mir-15a/15b/16/1,ARL2,0.9757,1
hsa-miR-6088,TOPBP1,0.9757,1
hsa-miR-6893-3p,DCDC2B,0.9746,1
hsa-miR-877-3p,DIO3OS,0.9743,1
hsa-miR-330-3p,NONHSAG036952,0.9742,1
hsa-mir-216a-3p,CD274,0.9738,1
ST5,hsa-mir-615-3p,0.9737,1
hsa-miR-892c-3p,METTL21A,0.9736,1
hsa-mir-6838,CTD-2313N18.5,0.9734,1
hsa-let-7c,C15orf40,0.9724,1
hsa-miR-151a-3p,RP11-106M3.2,0.9718,1
hsa-mir-206,LINC00852,0.971,1
hsa-mir-331-3p,C1orf35,0.9697,1
hsa-mir-20a/106b,NONHSAG013249,0.9679,1
hsa-miR-876-5p,CTD-2126E3.3,0.9657,1
hsa-miR-365b-3p,AC084809.2,0.9654,1
hsa-miR-377-3p,RAB4B,0.9654,1
hsa-mir-19a/19b,TPP2,0.9643,1
hsa-miR-92b-3p,NONHSAG007344,0.9642,1
hsa-miR-339-5p,STIM1,0.9625,1
hsa-miR-302e,UBAP2L,0.9613,1
RP11-588K22.2,hsa-miR-4295,0.9607,1
hsa-miR-758-3p,RP1-151F17.1,0.9605,1
hsa-miR-215-5p,ZEB1-AS1,0.9598,1
hsa-miR-378f,RPL13A,0.9585,1
hsa-miR-532-3p,PPP2CB,0.9579,1
hsa-miR-491-3p,TSEN54,0.9573,1
hsa-miR-215-5p,C9orf89,0.9567,1
hsa-miR-485-3p,NONHSAG000093,0.9554,1
hsa-miR-363-5p,GEMIN2,0.9551,1
